,x,y,labels,headline,created_at,Topic,top_n_words,size
0,10.534299,1.3184407,204,Dannenröder Forst: Stacheldraht und Pyros – Jetzt beginnt die Räumung,2020-11-10,204,spathelf | geller | wald | baumarten | wälder | insekten | wäldern,7
1,10.20603,1.5972469,204,Naturschutz: Europas Maßnahmen wirken nur mäßig,2020-10-19,204,spathelf | geller | wald | baumarten | wälder | insekten | wäldern,7
2,9.749689,1.9254426,204,Laubbläser: So schädlich sind die Gartengeräte für Tier und Mensch,2020-10-04,204,spathelf | geller | wald | baumarten | wälder | insekten | wäldern,7
3,10.162035,1.455008,204,Waldsterben: Diese Baumarten machen den Wald für die Zukunft stark,2020-10-01,204,spathelf | geller | wald | baumarten | wälder | insekten | wäldern,7
4,10.10521,1.866713,204,Insektensterben: Warum Deutschlands Wiesen immer mehr verstummen,2020-08-21,204,spathelf | geller | wald | baumarten | wälder | insekten | wäldern,7
5,11.589784,1.9145114,204,Neue Studie: Wälder der Welt sind wervoller als der Aktienmarkt,2020-08-08,204,spathelf | geller | wald | baumarten | wälder | insekten | wäldern,7
6,9.4623375,1.3571922,204,Einhundert Mammutbäume stehen an der holländischen Grenze,2020-08-07,204,spathelf | geller | wald | baumarten | wälder | insekten | wäldern,7
7,12.820578,2.911778,-1,"Macron für Schengen-Reform, Kurz fordert striktes Vorgehen gegen Gefährder",2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
8,4.045031,-4.2017612,-1,DFB: Ilkay Gündogan erzählt von emotionalem Telefonat mit Großvater,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
9,9.62969,1.6548685,-1,Die Büsche müssen weg - das ist das Ende des Kirschlorbeers,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
10,11.171709,3.6227677,-1,"IM „Flame“: Der Stasi-Spitzel, der aus Dänemark kam",2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
11,12.893936,1.8787042,-1,Schlacht um Moskau: Als Hitler sich den Oberbefehl über das Heer griff,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
12,11.574089,2.6704106,-1,Hamburg richtet Meldestelle zu Rechtsextremismus ein,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
13,11.623743,-1.8607024,-1,"Janis McDavid: Keine Arme, keine Beine - Rennfahrer",2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
14,8.449161,1.2238826,-1,Efraim Habermann: Abends bei einem Angehörigen der Risikogruppe,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
15,8.399881,-0.49192816,-1,Hamburger Presseclub: Medienmacher diskutieren über ihre Corona-Erkenntnisse,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
16,10.292355,2.4778829,-1,Rezeptpflichtige Apps für einen Euro – Gründer löst Empörung aus,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
17,12.015224,0.46556783,-1,Schuldner-Atlas: Überschuldung und Armut treffen zunehmend die Alten,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
18,9.244529,0.14955942,-1,Berliner Ensemble: „Endlich stört die Kunst nicht mehr“,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
19,10.009748,2.6969762,-1,Poliopandemien: Vom Segen des Impfstoffs,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
20,9.397407,0.41691455,-1,11.11.: Schluss mit lustig?,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
21,11.879323,-1.2293111,-1,Countryman von Mini: Plugin-Hybrid scheitert an der 60-Kilometer-Marke,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
22,8.05442,1.4123362,-1,Mythen: Was Herakles mit Gibraltar zu tun hat,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
23,11.739183,3.4459288,-1,Querdenken-Debakel: Das Bild vom hässlichen Ossi - doch wieso schwäbelt der?,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
24,11.840415,2.514536,-1,Kritik an Seenotrettung: „Ein Christ kann ertrinken lassen“ – Pfarrer verlässt Gemeinde,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
25,9.75799,1.5377269,-1,Religion: Frauen können Krisen besser bewältigen,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
26,10.678511,2.6012547,-1,Corona: Neuinfektionen unter Vorwochenstand – stagnieren die Zahlen?,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
27,9.917643,-0.22508483,-1,"Riesenexplosion 1944: „Das Erste, was ich sah, war die eine Hälfte des Körpers meines Kameraden“",2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
28,9.912946,5.0711393,-1,Würzburg: Rentner wegen Totschlags von kranker Frau vor Gericht,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
29,13.840502,2.6333015,-1,USA: Nach Trumps Wahlparty gibt es zwei neue Corona-Fälle im Weißen Haus,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
30,3.7410545,-5.0979366,-1,Fußball: Was den Deutschen an ihrer Nationalmannschaft nicht passt,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
31,3.297929,-4.8743706,-1,Würzburg: Magaths zynischer Kommentar zur Entlassung von Trainer Antwerpen,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
32,9.835445,2.5427322,-1,Biontech-Gründer Ugur Sahin: Brillant und standhaft – auf dieses Genie schaut die ganze Welt,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
33,10.869487,5.425872,-1,Stuttgart: Haftstrafe für jungen Randalierer nach Krawallnacht,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
34,10.735479,0.3841859,-1,Sophienschule: Großspender ermöglicht Schulneubau der Katholischen Kirche,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
35,4.0444236,-4.1082807,-1,Amateur-Fußball: Ich habe drei Sonntage ausgeschlafen - langsam reicht es,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
36,3.6386232,-3.3202817,-1,Treffen in Frankfurt: Vier Klubs ausgebootet – „G15“ spaltet die Bundesliga,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
37,11.367946,4.1029744,-1,Deradikalisierung: „Terroristen sind geübt in der Manipulation“,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
38,10.711809,-1.3453262,-1,EU-Wettbewerbshüter werfen Amazon Verstoß gegen Kartellvorschriften vor,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
39,7.8476205,1.6291405,-1,Auf Weltreise: Warum lächeln die Menschen in Bulgarien nicht?,2020-11-10,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
40,8.830231,2.0777812,-1,Horoskop: So wird die Woche vom 9. bis 15. November 2020,2020-11-09,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
41,11.826124,-0.5252153,-1,Neues Projekt der Landesregierung - NRW auf Wasserstoff-Vormarsch,2020-11-09,-1,schalke | bvb | dfb | favre | ki | bushido | sachsen,2664
